"","lat","lng","name","type","elev"
"19",61.1890305557365,-149.82183055591,"Providence Hospital","Heliport",140
"21",61.2247749999557,-149.839094444617,"Viking","Heliport",72
"22",61.2127027776041,-149.826583333669,"Alaska Rgnl Hospital","Heliport",137
"24",61.1561305557171,-149.79230000042,"Campbell Blm","Heliport",235
"28",61.2494513888216,-150.035560555306,"Point Mackenzie","Heliport",72
"33",61.2397286109824,-149.749424444073,"Elmendorf Hospital","Heliport",228
"80",61.5148611113016,-149.92901111086,"Team Levine","Heliport",150
"85",61.5165805553916,-149.931080555289,"Cowell's","Heliport",142
"87",61.52157499983,-149.927138888857,"Saddleback Island","Heliport",150
"102",56.0021130556696,-134.13533916652,"Cape Decision Lighthouse","Heliport",34
"108",58.1990686108959,-136.638810555169,"Cape Spencer C G","Heliport",84
"150",55.4752202777602,-133.145856388481,"Craig Cg","Heliport",20
"160",70.1712846111954,-146.258569639305,"Central Pad","Heliport",9
"172",64.0388624999344,-145.738947221993,"Buffalo Row","Heliport",1180
"173",64.0271088890835,-145.680174444168,"Trophy Lodge","Heliport",1200
"179",65.7586111112494,-168.953055555447,"Diomede","Heliport",20
"188",58.9710586113098,-135.237382222284,"Eldred Rock Cg","Heliport",33
"200",64.8153991668557,-147.862145555148,"Tundra Copter","Heliport",434
"220",57.2699363886941,-133.631451389094,"Five Finger Cg","Heliport",48
"240",59.4375555555955,-136.229361111274,"35 Mile Lodge","Heliport",690
"245",63.7384319443376,-148.881749722318,"Era Denali","Heliport",1580
"257",59.6522611111069,-151.549999999815,"South Peninsula Hospital","Heliport",370
"284",58.3907805554905,-134.776799999579,"Alascom/Coastal Lena Point","Heliport",150
"285",58.3288027777427,-134.460083333443,"Barlett Regional Hospital","Heliport",296
"287",58.5916666667496,-134.899999999887,"Yankee Cove","Heliport",0
"288",58.3321736112761,-134.497053333671,"North Douglas","Heliport",25
"295",59.0017527777119,-158.532464444819,"Ans Hospital","Heliport",100
"316",60.5295264999256,-151.256738055591,"Prl Logistics","Heliport",28.8
"318",55.382984166681,-131.73501833325,"Ketchikan /Temsco H/","Heliport",20
"344",70.3430416667389,-149.589063889306,"Pad-66","Heliport",60
"345",70.4824805555758,-149.853233333403,"Nikaitchuq Operations Center","Heliport",20
"346",70.5562500001456,-149.910527778019,"Spy Island Drill-Site","Heliport",21
"405",60.7397222220432,-151.308333332924,"Offshore Systems-Kenai","Heliport",150
"426",70.4954222223646,-150.253466667049,"Oooguruk Island","Heliport",27
"428",70.4141000000574,-150.01859166705,"Pioneer","Heliport",38
"462",61.5628666664828,-149.259147222078,"Mat-Su Rgnl Medical Center","Heliport",145
"495",70.4920999999148,-148.703644444808,"Northstar","Heliport",10
"522",60.1052777779508,-149.443055555238,"Providence Seward Medical Center","Heliport",120
"545",60.4913733334616,-151.077779444139,"Soldotna Hospital H","Heliport",95
"615",62.5675527778528,-150.235883332935,"Era Chulitna River","Heliport",960
"624",61.1807694443487,-151.041147222136,"Beluga","Heliport",75
"631",61.1366111113089,-146.345388889296,"Valdez Hospital","Heliport",96
"633",61.1299999998303,-146.370555555798,"Cvtc Field","Heliport",50
"698",61.6074111111781,-149.279500000229,"Carol's","Heliport",328
"701",61.585219444408,-149.424769444823,"Valley Hospital, Wasilla","Heliport",340
"744",33.2522222221045,-86.8122222221298,"Shelby Medical Center","Heliport",510
"750",33.6562147224071,-85.8241313890136,"Rgnl Medical Center","Heliport",844
"751",33.6263888889405,-85.9672222223123,"Anniston Ahp (Anniston Army Depot)","Heliport",686
"754",33.2750000001331,-85.8333333337287,"Clay County Hospital","Heliport",1040
"756",34.8028166666393,-86.9806055552409,"Athens-Limestone Hospital Helipad","Heliport",693
"761",30.43111111144,-88.17916666659,"Petroleum Helicopters Inc","Heliport",34
"763",33.3723330554318,-86.9902708330133,"Bessemer Carraway","Heliport",670
"765",33.4976058335971,-86.8463794444896,"Baptist Medical Center-Princeton","Heliport",557
"766",33.5359383336951,-86.8113791667104,"Carraway Medical Center","Heliport",672
"767",33.5042719441075,-86.8052675002345,"The Children's Hospital","Heliport",698
"768",33.5120491665445,-86.6774869444788,"Lakeside","Heliport",645
"769",33.5058611112424,-86.802777778102,"University Of Alabama Hospital","Heliport",787
"770",33.463888889201,-86.7730555553679,"Brookwood Medical Center","Heliport",763
"771",33.5174999998611,-86.7497222219014,"Trinty Medical Center","Heliport",966
"772",33.5195497219867,-86.8136011109381,"Alabama Power Headquarters","Heliport",676
"773",33.5951033334457,-86.6647099995803,"St Vincents East","Heliport",1070
"774",33.4786666667075,-86.7020000003736,"Liberty Park","Heliport",620
"777",34.2208333331112,-86.1605555554657,"Marshall Medical Center South","Heliport",1000
"782",31.1272222220429,-87.0733333329772,"D W Mcmillian Memorial Hospital","Heliport",155
"783",34.9138416669114,-85.7708611112056,"North Jackson Nursing Home","Heliport",650
"793",33.3224333330839,-86.357880555279,"Resolute Forest Products","Heliport",417
"794",31.0902777775021,-88.2452777774795,"Silcox Memorial","Heliport",339
"799",32.1723744444644,-85.0288191667864,"Meadwestvaco (Mwv) Prg","Heliport",95
"804",34.2005555555601,-86.8047222219587,"Cullman Rgnl Medical Center","Heliport",826
"805",32.8187111114886,-85.7411638885859,"Lake Martin Community Hospital","Heliport",589
"806",34.373000000276,-87.0804999997874,"Med Flight 2","Heliport",650
"810",34.5908333330186,-86.9722222218879,"Decatur General Hospital","Heliport",588
"812",32.5055555553388,-87.8363888886099,"Bryan W  Whitfield Memorial Hospital","Heliport",154
"813",31.2180555552221,-85.3672222220964,"Southeast Alabama Medical Center","Heliport",314
"814",31.237674444144,-85.4563225003075,"Flowers Hospital","Heliport",305
"826",31.4305555556168,-86.9402777773468,"Hospital Pad","Heliport",295
"830",33.7091666669658,-87.823611110973,"Fayette Medical Center","Heliport",370
"832",34.768919444614,-85.6962055559136,"Flat Rock Community Club","Heliport",1289
"834",31.0009111113332,-86.3136555560006,"Forlala Hospital Helipad","Heliport",324
"837",34.7939766665139,-87.6833622220431,"Eliza Coffee Memorial Hospital","Heliport",581
"842",30.4175666665232,-87.6851333332708,"Foley Hospital","Heliport",85
"848",34.440833333593,-85.7563888890591,"Dekalb Rgnl Medical Center","Heliport",870
"850",31.3557222223442,-85.6516750000812,"Hanchey Ahp (Fort Rucker)","Heliport",318
"851",31.3558333333561,-85.7511666670038,"Lowe Ahp (Fort Rucker)","Heliport",294
"852",31.3168383331548,-85.6666019440346,"Knox Ahp","Heliport",225
"853",31.3626694442766,-85.8493833334841,"Shell Ahp","Heliport",400
"854",31.2257083335194,-85.5615944442994,"Toth Stagefield Ahp","Heliport",318
"855",31.2698750003813,-86.0409388890122,"Lucas Ahp","Heliport",336
"856",31.2311750003056,-85.649702777621,"Allen Stagefield Ahp","Heliport",365
