"","lat","lng","name","chem"
"1",34.717781,-77.342919,"MCIEAST-MCB CAMLEJ MAIN FACILITY","NITRATE COMPOUNDS"
"2",38.881196,-77.080161,"US ARMY JOINT BASE MYER-HENDERSON HALL (JBM-HH)","LEAD"
"3",42.18846,-72.54072,"US DOD USAF WESTOVER ARB","NAPHTHALENE"
"4",46.674883,-120.409513,"YAKIMA TRAINING CENTER- RANGE","LEAD"
"5",37.259202,-86.978066,"US TVA PARADISE FOSSIL PLANT","MERCURY COMPOUNDS"
"6",33.306669,-117.3408,"U.S. MARINE CORPS MCB CAMP PENDLETON","COPPER"
"7",44.05452,-75.79592,"US ARMY FORT DRUM","COPPER"
"8",36.0278,-87.9861,"US TVA JOHNSONVILLE FOSSIL PLANT","DIOXIN AND DIOXIN-LIKE COMPOUNDS"
"9",37.180621,-83.787672,"FCI MANCHESTER","LEAD"
"10",37.151972,-88.777324,"US TVA SHAWNEE FOSSIL PLANT","NAPHTHALENE"
"11",42.719762,-73.708712,"US ARMY - WATERVLIET ARSENAL","NICKEL"
"12",36.0278,-87.9861,"US TVA JOHNSONVILLE FOSSIL PLANT","VANADIUM COMPOUNDS"
"13",24.565474,-81.795547,"US DOD NAS KEY WEST","XYLENE (MIXED ISOMERS)"
"14",36.906111,-76.147778,"US NAVY JOINT EXPEDITIONARY LITTLE CREEK BASE","LEAD"
"15",37.93581,-75.469901,"US NASA GSFC WALLOPS FLIGHT FACILITY","POLYCYCLIC AROMATIC COMPOUNDS"
"16",33.447221,-117.611993,"U.S. NAVY SAN CLEMENTE ISLAND","ALUMINUM (FUME OR DUST)"
"17",32.698333,-117.209444,"U.S. NAVAL AIR STATION NORTH ISLAND","AMMONIA"
"18",43.559077,-116.22806,"ARMY NATIONAL GUARD ORCHARD COMBAT TRAINING CENTER RANGES","LEAD"
"19",32.698333,-117.209444,"U.S. NAVAL AIR STATION NORTH ISLAND","SODIUM DIMETHYLDITHIOCARBAMATE"
"20",37.180556,-80.541111,"US ARMY RADFORD ARMY AMMUNITION PLANT","SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY)"
"21",24.565474,-81.795547,"US DOD NAS KEY WEST","ETHYLBENZENE"
"22",34.646944,-86.673055,"US ARMY GARRISON-REDSTONE","CHLORINE"
"23",34.717781,-77.342919,"MCIEAST-MCB CAMLEJ MAIN FACILITY","NITROGLYCERIN"
"24",34.829722,-89.200833,"US TVA MAGNOLIA COMBINED CYCLE PLANT","AMMONIA"
"25",36.0211,-84.1567,"US TVA BULL RUN FOSSIL PLANT","AMMONIA"
"26",33.174229,-88.19454,"FCI ALICEVILLE FEDERAL BUREAU OF PRISONS","LEAD"
"27",36.3163,-86.3974,"US TVA GALLATIN FOSSIL PLANT","VANADIUM COMPOUNDS"
"28",43.9269,-90.2617,"US DOD, USAF, VOLK FIELD CRTC","LEAD"
"29",41.110433,-95.91529,"US AIR FORCE OFFUTT AFB NE","ETHYLBENZENE"
"30",44.620532,-84.797158,"US ARMY NATIONAL GUARD CAMP GRAYLING JMTC NORTH RANGES","LEAD COMPOUNDS"
"31",29.82798,-90.02213,"US NAVY NAVAL AIR STATION JOINT RESERVE BASE NEW ORLEANS","LEAD"
"32",37.180556,-80.541111,"US ARMY RADFORD ARMY AMMUNITION PLANT","LEAD COMPOUNDS"
"33",44.290604,-74.095016,"FEDERAL CORRECTIONAL INSTITUTION RAY BROOK","LEAD"
"34",35.0741,-90.1488,"US TVA ALLEN FOSSIL PLANT","LEAD COMPOUNDS"
"35",36.0211,-84.1567,"US TVA BULL RUN FOSSIL PLANT","HYDROGEN FLUORIDE"
"36",36.3163,-86.3974,"US TVA GALLATIN FOSSIL PLANT","SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY)"
"37",47.516185,-111.190594,"US DOD USAF MALMSTROM AFB","LEAD"
"38",34.23123,-116.05622,"U.S. MARINE CORPS TWENTYNINE PALMS AIR GROUND COMBAT CENTER","COPPER"
"39",37.180556,-80.541111,"US ARMY RADFORD ARMY AMMUNITION PLANT","DIBUTYL PHTHALATE"
"40",35.0741,-90.1488,"US TVA ALLEN FOSSIL PLANT","BENZO(G,H,I)PERYLENE"
"41",37.259202,-86.978066,"US TVA PARADISE FOSSIL PLANT","MANGANESE COMPOUNDS"
"42",37.180556,-80.541111,"US ARMY RADFORD ARMY AMMUNITION PLANT","MERCURY"
